./lab6
current sum of generated num up to now is 0, adding 6 to it.
current sum of generated num up to now is 2700, adding 2 to it.
current sum of generated num up to now is 2702, adding 1 to it.
current sum of generated num up to now is 2703, adding 4 to it.
current sum of generated num up to now is 2707, adding 3 to it.
current sum of generated num up to now is 2710, adding 0 to it.
current sum of generated num up to now is 2710, adding 4 to it.
current sum of generated num up to now is 2714, adding 8 to it.
current sum of generated num up to now is 2722, adding 4 to it.
current sum of generated num up to now is 2726, adding 2 to it.
current sum of generated num up to now is 2728, adding 2 to it.
current sum of generated num up to now is 2730, adding 1 to it.
current sum of generated num up to now is 2731, adding 7 to it.
current sum of generated num up to now is 2738, adding 7 to it.
current sum of generated num up to now is 2745, adding 0 to it.
current sum of generated num up to now is 2745, adding 9 to it.
current sum of generated num up to now is 2754, adding 2 to it.
current sum of generated num up to now is 2756, adding 6 to it.
current sum of generated num up to now is 2762, adding 8 to it.
current sum of generated num up to now is 2770, adding 8 to it.
current sum of generated num up to now is 2778, adding 8 to it.
current sum of generated num up to now is 2786, adding 5 to it.
current sum of generated num up to now is 2791, adding 7 to it.
current sum of generated num up to now is 2798, adding 1 to it.
current sum of generated num up to now is 2799, adding 2 to it.
current sum of generated num up to now is 2801, adding 9 to it.
current sum of generated num up to now is 2810, adding 8 to it.
current sum of generated num up to now is 2818, adding 1 to it.
current sum of generated num up to now is 2819, adding 1 to it.
current sum of generated num up to now is 2820, adding 0 to it.
current sum of generated num up to now is 2820, adding 4 to it.
current sum of generated num up to now is 2824, adding 9 to it.
current sum of generated num up to now is 2833, adding 2 to it.
current sum of generated num up to now is 2835, adding 5 to it.
current sum of generated num up to now is 2840, adding 3 to it.
current sum of generated num up to now is 2843, adding 8 to it.
current sum of generated num up to now is 2851, adding 7 to it.
current sum of generated num up to now is 2858, adding 0 to it.
current sum of generated num up to now is 2858, adding 6 to it.
current sum of generated num up to now is 2864, adding 2 to it.
current sum of generated num up to now is 2866, adding 4 to it.
current sum of generated num up to now is 2870, adding 8 to it.
current sum of generated num up to now is 2878, adding 5 to it.
current sum of generated num up to now is 2883, adding 1 to it.
current sum of generated num up to now is 2884, adding 7 to it.
current sum of generated num up to now is 2891, adding 6 to it.
current sum of generated num up to now is 2897, adding 1 to it.
current sum of generated num up to now is 2898, adding 1 to it.
current sum of generated num up to now is 2899, adding 4 to it.
current sum of generated num up to now is 2903, adding 1 to it.
current sum of generated num up to now is 2904, adding 0 to it.
current sum of generated num up to now is 2904, adding 2 to it.
current sum of generated num up to now is 2906, adding 6 to it.
current sum of generated num up to now is 2912, adding 9 to it.
current sum of generated num up to now is 2921, adding 4 to it.
current sum of generated num up to now is 2925, adding 0 to it.
current sum of generated num up to now is 2925, adding 0 to it.
current sum of generated num up to now is 2925, adding 4 to it.
current sum of generated num up to now is 2929, adding 4 to it.
current sum of generated num up to now is 2933, adding 1 to it.
current sum of generated num up to now is 2934, adding 4 to it.
current sum of generated num up to now is 2938, adding 8 to it.
current sum of generated num up to now is 2946, adding 1 to it.
current sum of generated num up to now is 2947, adding 7 to it.
current sum of generated num up to now is 2954, adding 6 to it.
current sum of generated num up to now is 2960, adding 6 to it.
current sum of generated num up to now is 2966, adding 7 to it.
current sum of generated num up to now is 2973, adding 3 to it.
current sum of generated num up to now is 2976, adding 6 to it.
current sum of generated num up to now is 2982, adding 3 to it.
current sum of generated num up to now is 2985, adding 7 to it.
current sum of generated num up to now is 2992, adding 0 to it.
current sum of generated num up to now is 2992, adding 4 to it.
current sum of generated num up to now is 2996, adding 3 to it.
current sum of generated num up to now is 2999, adding 4 to it.
current sum of generated num up to now is 3003, adding 1 to it.
current sum of generated num up to now is 3004, adding 1 to it.
current sum of generated num up to now is 3005, adding 5 to it.
current sum of generated num up to now is 3010, adding 3 to it.
current sum of generated num up to now is 3013, adding 5 to it.
current sum of generated num up to now is 3018, adding 8 to it.
current sum of generated num up to now is 3026, adding 5 to it.
current sum of generated num up to now is 3031, adding 9 to it.
current sum of generated num up to now is 3040, adding 6 to it.
current sum of generated num up to now is 3046, adding 6 to it.
current sum of generated num up to now is 3052, adding 5 to it.
current sum of generated num up to now is 3057, adding 9 to it.
current sum of generated num up to now is 3066, adding 6 to it.
current sum of generated num up to now is 3072, adding 9 to it.
current sum of generated num up to now is 3081, adding 3 to it.
current sum of generated num up to now is 3084, adding 7 to it.
current sum of generated num up to now is 3091, adding 6 to it.
current sum of generated num up to now is 3097, adding 3 to it.
current sum of generated num up to now is 3100, adding 0 to it.
current sum of generated num up to now is 3100, adding 5 to it.
current sum of generated num up to now is 3105, adding 1 to it.
current sum of generated num up to now is 3106, adding 7 to it.
current sum of generated num up to now is 3113, adding 2 to it.
current sum of generated num up to now is 3115, adding 7 to it.
current sum of generated num up to now is 3122, adding 5 to it.
current sum of generated num up to now is 3127, adding 7 to it.
current sum of generated num up to now is 3134, adding 4 to it.
current sum of generated num up to now is 3138, adding 8 to it.
current sum of generated num up to now is 3146, adding 1 to it.
current sum of generated num up to now is 3147, adding 9 to it.
current sum of generated num up to now is 3156, adding 2 to it.
current sum of generated num up to now is 3158, adding 5 to it.
current sum of generated num up to now is 3163, adding 0 to it.
current sum of generated num up to now is 3163, adding 9 to it.
current sum of generated num up to now is 3172, adding 0 to it.
current sum of generated num up to now is 3172, adding 7 to it.
current sum of generated num up to now is 3179, adding 9 to it.
current sum of generated num up to now is 3188, adding 7 to it.
current sum of generated num up to now is 3195, adding 9 to it.
current sum of generated num up to now is 3204, adding 5 to it.
current sum of generated num up to now is 3209, adding 3 to it.
current sum of generated num up to now is 3212, adding 4 to it.
current sum of generated num up to now is 3216, adding 4 to it.
current sum of generated num up to now is 3220, adding 9 to it.
current sum of generated num up to now is 3229, adding 6 to it.
current sum of generated num up to now is 3235, adding 9 to it.
current sum of generated num up to now is 3244, adding 8 to it.
current sum of generated num up to now is 3252, adding 4 to it.
current sum of generated num up to now is 3256, adding 5 to it.
current sum of generated num up to now is 3261, adding 9 to it.
current sum of generated num up to now is 3270, adding 9 to it.
current sum of generated num up to now is 3279, adding 8 to it.
current sum of generated num up to now is 3287, adding 8 to it.
current sum of generated num up to now is 3295, adding 3 to it.
current sum of generated num up to now is 3298, adding 5 to it.
current sum of generated num up to now is 3303, adding 5 to it.
current sum of generated num up to now is 3308, adding 0 to it.
current sum of generated num up to now is 3308, adding 0 to it.
current sum of generated num up to now is 3308, adding 3 to it.
current sum of generated num up to now is 3311, adding 4 to it.
current sum of generated num up to now is 3315, adding 1 to it.
current sum of generated num up to now is 3316, adding 7 to it.
current sum of generated num up to now is 3323, adding 9 to it.
current sum of generated num up to now is 3332, adding 4 to it.
current sum of generated num up to now is 3336, adding 6 to it.
current sum of generated num up to now is 3342, adding 1 to it.
current sum of generated num up to now is 3343, adding 1 to it.
current sum of generated num up to now is 3344, adding 5 to it.
current sum of generated num up to now is 3349, adding 8 to it.
current sum of generated num up to now is 3357, adding 2 to it.
current sum of generated num up to now is 3359, adding 3 to it.
current sum of generated num up to now is 3362, adding 1 to it.
current sum of generated num up to now is 3363, adding 7 to it.
current sum of generated num up to now is 3370, adding 9 to it.
current sum of generated num up to now is 3379, adding 2 to it.
current sum of generated num up to now is 3381, adding 5 to it.
current sum of generated num up to now is 3386, adding 1 to it.
current sum of generated num up to now is 3387, adding 0 to it.
current sum of generated num up to now is 3387, adding 9 to it.
current sum of generated num up to now is 3396, adding 8 to it.
current sum of generated num up to now is 3404, adding 1 to it.
current sum of generated num up to now is 3405, adding 0 to it.
current sum of generated num up to now is 3405, adding 6 to it.
current sum of generated num up to now is 3411, adding 9 to it.
current sum of generated num up to now is 3420, adding 5 to it.
current sum of generated num up to now is 3425, adding 2 to it.
current sum of generated num up to now is 3427, adding 5 to it.
current sum of generated num up to now is 3432, adding 7 to it.
current sum of generated num up to now is 3439, adding 4 to it.
current sum of generated num up to now is 3443, adding 0 to it.
current sum of generated num up to now is 3443, adding 1 to it.
current sum of generated num up to now is 3444, adding 5 to it.
current sum of generated num up to now is 3449, adding 8 to it.
current sum of generated num up to now is 3457, adding 2 to it.
current sum of generated num up to now is 3459, adding 9 to it.
current sum of generated num up to now is 3468, adding 6 to it.
current sum of generated num up to now is 3474, adding 3 to it.
current sum of generated num up to now is 3477, adding 3 to it.
current sum of generated num up to now is 3480, adding 4 to it.
current sum of generated num up to now is 3484, adding 3 to it.
current sum of generated num up to now is 3487, adding 5 to it.
current sum of generated num up to now is 3492, adding 7 to it.
current sum of generated num up to now is 3499, adding 6 to it.
current sum of generated num up to now is 3505, adding 4 to it.
current sum of generated num up to now is 3509, adding 8 to it.
current sum of generated num up to now is 3517, adding 8 to it.
current sum of generated num up to now is 3525, adding 1 to it.
current sum of generated num up to now is 3526, adding 9 to it.
current sum of generated num up to now is 3535, adding 1 to it.
current sum of generated num up to now is 3536, adding 2 to it.
current sum of generated num up to now is 3538, adding 7 to it.
current sum of generated num up to now is 3545, adding 2 to it.
current sum of generated num up to now is 3547, adding 4 to it.
current sum of generated num up to now is 3551, adding 6 to it.
current sum of generated num up to now is 3557, adding 4 to it.
current sum of generated num up to now is 3561, adding 9 to it.
current sum of generated num up to now is 3570, adding 8 to it.
current sum of generated num up to now is 3578, adding 9 to it.
current sum of generated num up to now is 3587, adding 7 to it.
current sum of generated num up to now is 3594, adding 4 to it.
current sum of generated num up to now is 3598, adding 1 to it.
current sum of generated num up to now is 3599, adding 0 to it.
current sum of generated num up to now is 3599, adding 9 to it.
current sum of generated num up to now is 3608, adding 1 to it.
current sum of generated num up to now is 3609, adding 3 to it.
current sum of generated num up to now is 3612, adding 1 to it.
current sum of generated num up to now is 3613, adding 8 to it.
current sum of generated num up to now is 3621, adding 8 to it.
current sum of generated num up to now is 3629, adding 6 to it.
current sum of generated num up to now is 3635, adding 4 to it.
current sum of generated num up to now is 3639, adding 4 to it.
current sum of generated num up to now is 3643, adding 3 to it.
current sum of generated num up to now is 3646, adding 3 to it.
current sum of generated num up to now is 3649, adding 0 to it.
current sum of generated num up to now is 3649, adding 0 to it.
current sum of generated num up to now is 3649, adding 1 to it.
current sum of generated num up to now is 3650, adding 1 to it.
current sum of generated num up to now is 3651, adding 1 to it.
current sum of generated num up to now is 3652, adding 3 to it.
current sum of generated num up to now is 3655, adding 4 to it.
current sum of generated num up to now is 3659, adding 4 to it.
current sum of generated num up to now is 3663, adding 2 to it.
current sum of generated num up to now is 3665, adding 6 to it.
current sum of generated num up to now is 3671, adding 8 to it.
current sum of generated num up to now is 3679, adding 8 to it.
current sum of generated num up to now is 3687, adding 0 to it.
current sum of generated num up to now is 3687, adding 0 to it.
current sum of generated num up to now is 3687, adding 8 to it.
current sum of generated num up to now is 3695, adding 1 to it.
current sum of generated num up to now is 3696, adding 7 to it.
current sum of generated num up to now is 3703, adding 2 to it.
current sum of generated num up to now is 3705, adding 5 to it.
current sum of generated num up to now is 3710, adding 9 to it.
current sum of generated num up to now is 3719, adding 4 to it.
current sum of generated num up to now is 3723, adding 6 to it.
current sum of generated num up to now is 3729, adding 2 to it.
current sum of generated num up to now is 3731, adding 7 to it.
current sum of generated num up to now is 3738, adding 6 to it.
current sum of generated num up to now is 3744, adding 3 to it.
current sum of generated num up to now is 3747, adding 3 to it.
current sum of generated num up to now is 3750, adding 0 to it.
current sum of generated num up to now is 3750, adding 7 to it.
current sum of generated num up to now is 3757, adding 6 to it.
current sum of generated num up to now is 3763, adding 3 to it.
current sum of generated num up to now is 3766, adding 7 to it.
current sum of generated num up to now is 3773, adding 6 to it.
current sum of generated num up to now is 3779, adding 7 to it.
current sum of generated num up to now is 3786, adding 0 to it.
current sum of generated num up to now is 3786, adding 0 to it.
current sum of generated num up to now is 3786, adding 0 to it.
current sum of generated num up to now is 3786, adding 4 to it.
current sum of generated num up to now is 3790, adding 6 to it.
current sum of generated num up to now is 3796, adding 4 to it.
current sum of generated num up to now is 3800, adding 3 to it.
current sum of generated num up to now is 3803, adding 6 to it.
current sum of generated num up to now is 3809, adding 5 to it.
current sum of generated num up to now is 3814, adding 5 to it.
current sum of generated num up to now is 3819, adding 6 to it.
current sum of generated num up to now is 3825, adding 3 to it.
current sum of generated num up to now is 3828, adding 9 to it.
current sum of generated num up to now is 3837, adding 5 to it.
current sum of generated num up to now is 3842, adding 8 to it.
current sum of generated num up to now is 3850, adding 4 to it.
current sum of generated num up to now is 3854, adding 5 to it.
current sum of generated num up to now is 3859, adding 2 to it.
current sum of generated num up to now is 3861, adding 2 to it.
current sum of generated num up to now is 3863, adding 9 to it.
current sum of generated num up to now is 3872, adding 9 to it.
current sum of generated num up to now is 3881, adding 9 to it.
current sum of generated num up to now is 3890, adding 2 to it.
current sum of generated num up to now is 3892, adding 4 to it.
current sum of generated num up to now is 3896, adding 1 to it.
current sum of generated num up to now is 3897, adding 9 to it.
current sum of generated num up to now is 3906, adding 2 to it.
current sum of generated num up to now is 3908, adding 5 to it.
current sum of generated num up to now is 3913, adding 9 to it.
current sum of generated num up to now is 3922, adding 1 to it.
current sum of generated num up to now is 3923, adding 4 to it.
current sum of generated num up to now is 3927, adding 1 to it.
current sum of generated num up to now is 3928, adding 1 to it.
current sum of generated num up to now is 3929, adding 6 to it.
current sum of generated num up to now is 3935, adding 6 to it.
current sum of generated num up to now is 3941, adding 7 to it.
current sum of generated num up to now is 3948, adding 0 to it.
current sum of generated num up to now is 3948, adding 1 to it.
current sum of generated num up to now is 3949, adding 3 to it.
current sum of generated num up to now is 3952, adding 5 to it.
current sum of generated num up to now is 3957, adding 8 to it.
current sum of generated num up to now is 3965, adding 2 to it.
current sum of generated num up to now is 3967, adding 1 to it.
current sum of generated num up to now is 3968, adding 9 to it.
current sum of generated num up to now is 3977, adding 7 to it.
current sum of generated num up to now is 3984, adding 9 to it.
current sum of generated num up to now is 3993, adding 5 to it.
current sum of generated num up to now is 3998, adding 4 to it.
current sum of generated num up to now is 4002, adding 1 to it.
current sum of generated num up to now is 4003, adding 8 to it.
current sum of generated num up to now is 4011, adding 4 to it.
current sum of generated num up to now is 4015, adding 2 to it.
current sum of generated num up to now is 4017, adding 9 to it.
current sum of generated num up to now is 4026, adding 6 to it.
current sum of generated num up to now is 4032, adding 6 to it.
current sum of generated num up to now is 4038, adding 0 to it.
current sum of generated num up to now is 4038, adding 6 to it.
current sum of generated num up to now is 4044, adding 8 to it.
current sum of generated num up to now is 4052, adding 7 to it.
current sum of generated num up to now is 4059, adding 7 to it.
current sum of generated num up to now is 4066, adding 9 to it.
current sum of generated num up to now is 4075, adding 1 to it.
current sum of generated num up to now is 4076, adding 8 to it.
current sum of generated num up to now is 4084, adding 2 to it.
current sum of generated num up to now is 4086, adding 9 to it.
current sum of generated num up to now is 4095, adding 6 to it.
current sum of generated num up to now is 4101, adding 9 to it.
current sum of generated num up to now is 4110, adding 0 to it.
current sum of generated num up to now is 4110, adding 7 to it.
current sum of generated num up to now is 4117, adding 5 to it.
current sum of generated num up to now is 4122, adding 7 to it.
current sum of generated num up to now is 4129, adding 8 to it.
current sum of generated num up to now is 4137, adding 7 to it.
current sum of generated num up to now is 4144, adding 8 to it.
current sum of generated num up to now is 4152, adding 7 to it.
current sum of generated num up to now is 4159, adding 6 to it.
current sum of generated num up to now is 4165, adding 7 to it.
current sum of generated num up to now is 4172, adding 3 to it.
current sum of generated num up to now is 4175, adding 1 to it.
current sum of generated num up to now is 4176, adding 0 to it.
current sum of generated num up to now is 4176, adding 1 to it.
current sum of generated num up to now is 4177, adding 7 to it.
current sum of generated num up to now is 4184, adding 2 to it.
current sum of generated num up to now is 4186, adding 2 to it.
current sum of generated num up to now is 4188, adding 3 to it.
current sum of generated num up to now is 4191, adding 8 to it.
current sum of generated num up to now is 4199, adding 2 to it.
current sum of generated num up to now is 4201, adding 1 to it.
current sum of generated num up to now is 4202, adding 9 to it.
current sum of generated num up to now is 4211, adding 2 to it.
current sum of generated num up to now is 4213, adding 8 to it.
current sum of generated num up to now is 4221, adding 0 to it.
current sum of generated num up to now is 4221, adding 5 to it.
current sum of generated num up to now is 4226, adding 7 to it.
current sum of generated num up to now is 4233, adding 3 to it.
current sum of generated num up to now is 4236, adding 5 to it.
current sum of generated num up to now is 4241, adding 3 to it.
current sum of generated num up to now is 4244, adding 4 to it.
current sum of generated num up to now is 4248, adding 7 to it.
current sum of generated num up to now is 4255, adding 3 to it.
current sum of generated num up to now is 4258, adding 9 to it.
current sum of generated num up to now is 4267, adding 4 to it.
current sum of generated num up to now is 4271, adding 3 to it.
current sum of generated num up to now is 4274, adding 8 to it.
current sum of generated num up to now is 4282, adding 5 to it.
current sum of generated num up to now is 4287, adding 0 to it.
current sum of generated num up to now is 4287, adding 7 to it.
current sum of generated num up to now is 4294, adding 4 to it.
current sum of generated num up to now is 4298, adding 3 to it.
current sum of generated num up to now is 4301, adding 8 to it.
current sum of generated num up to now is 4309, adding 5 to it.
current sum of generated num up to now is 4314, adding 6 to it.
current sum of generated num up to now is 4320, adding 5 to it.
current sum of generated num up to now is 4325, adding 9 to it.
current sum of generated num up to now is 4334, adding 0 to it.
current sum of generated num up to now is 4334, adding 0 to it.
current sum of generated num up to now is 4334, adding 8 to it.
current sum of generated num up to now is 4342, adding 5 to it.
current sum of generated num up to now is 4347, adding 4 to it.
current sum of generated num up to now is 4351, adding 9 to it.
current sum of generated num up to now is 4360, adding 7 to it.
current sum of generated num up to now is 4367, adding 2 to it.
current sum of generated num up to now is 4369, adding 9 to it.
current sum of generated num up to now is 4378, adding 4 to it.
current sum of generated num up to now is 4382, adding 1 to it.
current sum of generated num up to now is 4383, adding 4 to it.
current sum of generated num up to now is 4387, adding 9 to it.
current sum of generated num up to now is 4396, adding 7 to it.
current sum of generated num up to now is 4403, adding 9 to it.
current sum of generated num up to now is 4412, adding 8 to it.
current sum of generated num up to now is 4420, adding 2 to it.
current sum of generated num up to now is 4422, adding 0 to it.
current sum of generated num up to now is 4422, adding 5 to it.
current sum of generated num up to now is 4427, adding 5 to it.
current sum of generated num up to now is 4432, adding 9 to it.
current sum of generated num up to now is 4441, adding 0 to it.
current sum of generated num up to now is 4441, adding 7 to it.
current sum of generated num up to now is 4448, adding 6 to it.
current sum of generated num up to now is 4454, adding 4 to it.
current sum of generated num up to now is 4458, adding 3 to it.
current sum of generated num up to now is 4461, adding 6 to it.
current sum of generated num up to now is 4467, adding 1 to it.
current sum of generated num up to now is 4468, adding 1 to it.
current sum of generated num up to now is 4469, adding 3 to it.
current sum of generated num up to now is 4472, adding 1 to it.
current sum of generated num up to now is 4473, adding 2 to it.
current sum of generated num up to now is 4475, adding 5 to it.
current sum of generated num up to now is 4480, adding 1 to it.
current sum of generated num up to now is 4481, adding 7 to it.
current sum of generated num up to now is 4488, adding 9 to it.
current sum of generated num up to now is 4497, adding 0 to it.
current sum of generated num up to now is 4497, adding 4 to it.
current sum of generated num up to now is 4501, adding 4 to it.
current sum of generated num up to now is 4505, adding 1 to it.
current sum of generated num up to now is 4506, adding 0 to it.
current sum of generated num up to now is 4506, adding 7 to it.
current sum of generated num up to now is 4513, adding 6 to it.
current sum of generated num up to now is 4519, adding 0 to it.
current sum of generated num up to now is 4519, adding 6 to it.
current sum of generated num up to now is 4525, adding 7 to it.
current sum of generated num up to now is 4532, adding 8 to it.
current sum of generated num up to now is 4540, adding 8 to it.
current sum of generated num up to now is 4548, adding 7 to it.
current sum of generated num up to now is 4555, adding 3 to it.
current sum of generated num up to now is 4558, adding 5 to it.
current sum of generated num up to now is 4563, adding 8 to it.
current sum of generated num up to now is 4571, adding 5 to it.
current sum of generated num up to now is 4576, adding 3 to it.
current sum of generated num up to now is 4579, adding 6 to it.
---+---+----+----------+---------+---+--+---+------+------+---+--+---
The sum of produced items by thread 140077472675584 at the end is: 951 
---+---+----+----------+---------+---+--+---+------+------+---+--+---

---+---+----+----------+---------+---+--+---+------+------+---+--+---
The sum of produced items by thread 140077558880000 at the end is: 913 
---+---+----+----------+---------+---+--+---+------+------+---+--+---

---+---+----+----------+---------+---+--+---+------+------+---+--+---
The sum of produced items by thread 140077550487296 at the end is: 858 
---+---+----+----------+---------+---+--+---+------+------+---+--+---

---+---+----+----------+---------+---+--+---+------+------+---+--+---
The sum of produced items by thread 140077567272704 at the end is: 926 
---+---+----+----------+---------+---+--+---+------+------+---+--+---

---+---+----+----------+---------+---+--+---+------+------+---+--+---
The sum of produced items by thread 140077464282880 at the end is: 937 
---+---+----+----------+---------+---+--+---+------+------+---+--+---

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
The value of counter at the end is: 4585 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
